cz,czname,pop2000,fips,statename,stateabbrv,le_agg_slope_q1_F,le_raceadj_slope_q1_F,le_agg_slope_q2_F,le_raceadj_slope_q2_F,le_agg_slope_q3_F,le_raceadj_slope_q3_F,le_agg_slope_q4_F,le_raceadj_slope_q4_F,le_agg_slope_q1_M,le_raceadj_slope_q1_M,le_agg_slope_q2_M,le_raceadj_slope_q2_M,le_agg_slope_q3_M,le_raceadj_slope_q3_M,le_agg_slope_q4_M,le_raceadj_slope_q4_M,sd_le_agg_slope_q1_F,sd_le_raceadj_slope_q1_F,sd_le_agg_slope_q2_F,sd_le_raceadj_slope_q2_F,sd_le_agg_slope_q3_F,sd_le_raceadj_slope_q3_F,sd_le_agg_slope_q4_F,sd_le_raceadj_slope_q4_F,sd_le_agg_slope_q1_M,sd_le_raceadj_slope_q1_M,sd_le_agg_slope_q2_M,sd_le_raceadj_slope_q2_M,sd_le_agg_slope_q3_M,sd_le_raceadj_slope_q3_M,sd_le_agg_slope_q4_M,sd_le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
21501,"Minneapolis",2904389,27,"Minnesota","MN",.119502,.112513,.2778691,.2692692,.3609225,.3488316,.1244228,.1203658,.0504742,.0590572,.1426507,.1486701,.3615759,.3552936,.0437089,.0485872,.0915297,.090024,.0844831,.0815344,.0816338,.0786594,.0829627,.0800627,.0663659,.0653516,.0726945,.0707094,.0710075,.0684673,.0784239,.0755325,911403,1468516,1949352,2469811,962562,1387091,1917148,2403472
23100,"Madison",590755,55,"Wisconsin","WI",.3061706,.3028731,.1170631,.1158132,.3567021,.3435119,.0393435,.0416209,.0737813,.0805397,.2540809,.2503742,.1913706,.1892743,.2060855,.2036256,.1605331,.1559642,.1650063,.1597179,.1577433,.1524174,.1793843,.1719929,.1295554,.1276832,.138189,.1350565,.1486076,.1433331,.1823415,.1764828,206987,326849,433033,426150,222795,319771,421977,402726
24100,"Milwaukee",1660659,55,"Wisconsin","WI",.0187235,.0198641,.1775073,.1718801,.2456291,.2377385,.2405794,.2302503,.0509535,.0464735,.2866122,.2827783,.1498826,.1487893,.3871101,.3781321,.0997248,.0976684,.1077368,.1045572,.1093204,.1049845,.1106087,.1066983,.0697041,.0692419,.0863674,.0846529,.0904654,.0871964,.1088362,.1059288,650249,844068,1093202,1065742,622276,811642,1069264,1014457
24300,"Chicago",8183799,17,"Illinois","IL",.1239732,.1200115,.2930011,.2890741,.1362768,.1323218,.4059287,.4004184,.1711806,.1625123,.2379587,.2364753,.1761152,.1760814,.2652776,.2665356,.04402,.0433299,.0537014,.0524387,.0539715,.0533429,.0534558,.0535911,.0359535,.0356275,.0451105,.0443837,.0511036,.0503156,.0483792,.0478634,3479341,3854772,4173047,5529194,3310876,3461539,3986544,5380273
24400,"Rockford",622573,17,"Illinois","IL",-.0292928,-.0305114,.2926158,.2848811,.1313613,.1264454,-.1305658,-.1257297,.0989136,.0874247,.1872293,.1862508,.1402469,.1350752,.0566885,.0590918,.1444514,.1404128,.1406207,.1346423,.1640953,.158351,.2274301,.2219262,.1034412,.1023684,.1225992,.1193426,.1421578,.1386731,.1776997,.1737464,285096,348178,429386,310063,258436,362902,436155,291015
24701,"St. Louis",2325609,29,"Missouri","MO",.0744502,.0672499,.1073162,.1006007,.2705921,.2575458,.4154465,.3972589,.1855673,.1811418,.2205356,.2166668,.2935512,.2875116,.2552471,.2515186,.0781172,.0763705,.087645,.0844784,.0838793,.0800504,.0966994,.0927981,.0554564,.0556751,.0741695,.072785,.0838805,.0810172,.096029,.0930661,1089207,1266842,1398911,1508740,970550,1110096,1360244,1443369
27501,"Des Moines",595842,19,"Iowa","IA",-.1881217,-.1851695,.434875,.4154738,.3525223,.3400328,.3496554,.3383778,-.0227642,-.0199923,-.0063171,-.0019844,-.0461303,-.0419211,.2818532,.2809803,.1576456,.1531866,.1575327,.1520624,.1753192,.1701141,.1980851,.1927786,.1194547,.1184102,.1358626,.1326678,.1406445,.1380441,.1693076,.1651846,220583,328032,405160,402397,221172,310086,393440,385040
28202,"Omaha",803201,31,"Nebraska","NE",-.0065264,-.0024531,.1949064,.1875966,.3432975,.3296362,.2183421,.2100428,.0787918,.0797236,.1182954,.1160539,.2175909,.2189554,.3327728,.323904,.1401183,.1356781,.1423732,.1375626,.1565123,.1503351,.1638177,.1578529,.0913774,.0912035,.1186407,.1160437,.1307337,.1275156,.1315955,.1269542,329397,444882,532089,502505,327693,431762,520988,478776
28900,"Denver",2449044,8,"Colorado","CO",.1688791,.1705411,-.1012794,-.0952775,.164096,.1667589,.1674956,.1661529,.0445592,.0521487,.0345565,.0425645,.1567537,.1599745,.0766887,.0807945,.077666,.0766113,.0809625,.0800355,.0916036,.0900827,.0735926,.0718643,.0601248,.059218,.0718506,.0707548,.0728991,.0717016,.0662134,.0643177,990269,1309695,1474387,1966096,1078250,1233735,1420411,1940550
29502,"Kansas City",1762873,29,"Missouri","MO",.0001625,.0071217,.097165,.0970876,.3205329,.3092312,.1993588,.1916503,.1122013,.1176187,-.0058568,.0007625,.0430458,.0471635,.3494436,.3412393,.0823219,.0793957,.0927364,.0894684,.0953478,.0918196,.1065155,.1026767,.0664726,.0659082,.0829533,.0810387,.087224,.0845428,.0965057,.0930718,776136,1002043,1121313,1174194,735683,884837,1088447,1127988
30402,"Tulsa",921246,40,"Oklahoma","OK",.0157632,.0216196,.1992382,.1958347,.1103638,.1043916,.1344607,.1306097,-.0378732,-.0358915,-.0031988,-.0040684,.0807886,.0762351,.0554641,.0579408,.1035092,.1001821,.1218727,.1170946,.1371407,.1321145,.1528379,.1463384,.0766848,.0754659,.1089865,.1069675,.1212501,.1179078,.1465962,.1424741,521147,531248,503467,429893,468167,502607,501433,409956
30601,"El Paso",857648,48,"Texas","TX",.0654063,.0636581,.2695692,.2738477,.4065695,.4423749,.6960238,.7281537,-.0436213,-.0906384,.2696111,.2319148,.398326,.3894086,.2599163,.2348834,.1107003,.127155,.1592003,.164785,.1715258,.178949,.2304813,.2354968,.0858236,.0896996,.1343451,.1340654,.1749805,.1821937,.213623,.2129437,772758,448158,300045,210197,692618,436415,293309,199349
31201,"Austin",1298076,48,"Texas","TX",-.0967466,-.0974201,.0449615,.044546,.2179835,.2150847,.1283322,.1289806,.0225763,.0187923,.202143,.1975219,.1350315,.1356084,.1242025,.1271921,.1013984,.1017901,.1136437,.1135325,.1271308,.1267395,.1357138,.1333425,.0846363,.0827944,.1060847,.1046452,.11635,.1150764,.1110846,.10841,620882,759515,741131,948705,638838,700339,735320,970064
31301,"San Antonio",1724863,48,"Texas","TX",.1620987,.1626316,.0452705,.039456,.2506436,.2619001,.3215267,.3305248,.0408884,.0277698,.2480573,.2371488,.3959782,.398302,.1245078,.1242951,.0789601,.0822117,.0892458,.0956252,.1155932,.1169312,.1289664,.1302187,.0652561,.0632774,.091688,.0916397,.1043335,.1064797,.1155422,.1163518,1162189,1012364,890356,827984,1054712,954956,847025,786511
31600,"Brownsville",978369,48,"Texas","TX",.2688383,.2948683,.4407604,.4451463,.1827019,.193587,.068164,.0736496,-.140038,-.1652683,.2252631,.1878321,-.1820534,-.2215178,.2045217,.1915533,.1078103,.118491,.1843414,.183988,.2381318,.2418979,.2959798,.2937497,.0879071,.0898173,.154147,.1561891,.2182921,.219624,.2416926,.2454387,959218,406262,226792,158519,857280,392798,220978,155160
32000,"Houston",4504013,48,"Texas","TX",.0995895,.0895047,.194812,.1826845,.2967298,.2853485,.1116092,.0981864,.0861447,.0701443,.0674662,.051975,.0735128,.0608558,.1600404,.1544639,.052212,.0511939,.0638568,.06388,.0741906,.0749866,.0639396,.0656861,.0422883,.0415941,.0554004,.0545864,.0692999,.0689989,.0576229,.057668,2643625,2442658,2125901,2993858,2417313,2311747,2136352,3068178
33000,"Fort Worth",1804370,48,"Texas","TX",.0697202,.0687812,.1144933,.1098305,.0351135,.0261446,.2893124,.2777257,.0459666,.0400501,.1005836,.0917327,.1766877,.1666209,.3045791,.2947576,.0851981,.0831972,.1012239,.0990629,.1049573,.1035893,.1205191,.1181864,.0652042,.0639799,.0817616,.0803389,.0921388,.090886,.0997305,.0975547,954528,1030168,1013219,1147705,887782,976381,1022316,1131621
33100,"Dallas",3405666,48,"Texas","TX",.1933554,.1924543,.1692311,.1617095,.2034211,.1938969,.250247,.2400943,.1054766,.0996366,.230876,.2179325,.2441131,.2347657,.1689002,.164821,.0646604,.0631792,.07245,.0721778,.0801304,.0801216,.0803775,.0797302,.0515492,.050414,.0640503,.0631143,.0753173,.074557,.0718047,.0702031,1744141,1902203,1739356,2370779,1720582,1735289,1684119,2420317
33803,"Oklahoma City",1154246,40,"Oklahoma","OK",-.1066052,-.0984522,.1743483,.1704487,.421328,.4081775,-.0380269,-.0343886,.0302601,.0323757,-.1655431,-.159011,.3113538,.3037651,.4496973,.4381834,.0930257,.0902623,.1064537,.1025743,.1311354,.1277197,.1658542,.1608135,.0709649,.0705379,.0989433,.0970028,.1112957,.1084169,.129284,.1258653,641714,661134,623284,525715,583677,616917,603063,493639
34701,"Honolulu",876156,15,"Hawaii","HI",.310375,.3761036,.2803494,.3486028,.4757309,.5767751,.0518974,.079092,.0422084,.0396958,.1102655,.1176419,.2782647,.2942494,-.0198516,-.0300485,.1247785,.1380223,.1381608,.154411,.1467723,.1622154,.1546804,.1873343,.104336,.1006284,.130869,.1310181,.1342871,.1402425,.1506535,.1586496,389323,480717,493237,503657,386222,461354,514000,479830
34901,"Albuquerque",755244,35,"New Mexico","NM",-.0146204,-.0255869,.4679761,.4828191,.1682507,.1754149,.0179835,.0258466,-.1193058,-.1286996,.094121,.0879545,.1585136,.16125,.2152688,.2177516,.1130935,.118384,.1223811,.1241376,.1589558,.1591896,.1922081,.1903494,.0861513,.0875518,.1243029,.1246864,.1265173,.1290181,.1630308,.1617863,455262,472582,417683,384858,432603,413797,395935,361807
35001,"Phoenix",3303211,4,"Arizona","AZ",.1738253,.1538217,.1574753,.1441432,.2271914,.2168767,.2552299,.2429277,.0217052,.0083668,.1062459,.0939363,.2390115,.2284152,.2398161,.2321144,.064988,.0633046,.0699226,.0689958,.074711,.0737346,.0897735,.0878841,.0498127,.0489365,.0650087,.0640604,.0725597,.0716729,.0789389,.0768785,1594573,1850081,1757757,1856750,1657903,1708221,1684068,1821727
35100,"Tucson",999882,4,"Arizona","AZ",-.0509883,-.0663917,.0335413,.027337,.3054462,.2972598,.2230918,.219969,-.0570388,-.0767409,.0657867,.0518955,.1061148,.0969713,.1056593,.1018465,.1037712,.1038821,.118222,.1191703,.1517785,.1491626,.1777809,.1741778,.0847809,.0830592,.1094407,.1084313,.130942,.1295565,.1500854,.1467997,604385,568974,505556,447766,578283,517852,475977,409636
36100,"Salt Lake City",1426729,49,"Utah","UT",.176545,.1649921,.1204355,.1120388,.1861285,.1776225,.0699602,.0682281,.1376941,.129509,.1331903,.1258184,.0602386,.0564868,-.049176,-.0446998,.1089163,.1057754,.1047552,.1032273,.1205767,.1176732,.0985561,.0950919,.0876587,.0853955,.1015499,.0994205,.0949922,.0927968,.1032819,.0993322,506057,660391,837529,769806,511107,673955,855827,744838
37000,"Modesto",729182,6,"California","CA",.1746868,.1463408,.0389634,.0144636,.2656129,.2441797,.1939404,.1860315,-.003234,-.0388569,.156365,.1281396,.1242853,.1072267,.0550389,.046384,.1234737,.1228297,.1607491,.1596573,.1792647,.1766278,.1992388,.1972739,.1003681,.0990244,.1352113,.1335632,.1482376,.1482721,.1897882,.1879887,416809,385989,359795,264600,406723,403874,355514,248070
37100,"Bakersfield",661645,6,"California","CA",.0061428,-.0210591,-.0328202,-.065008,.4364564,.411881,-.0701766,-.0789756,-.1823244,-.2156477,.3058661,.269516,.2864639,.2575647,-.1678884,-.179628,.1233656,.1227774,.1770237,.1790292,.1786021,.1798503,.2052515,.2036914,.1080151,.1054137,.1462036,.1470854,.1624204,.1618959,.1888854,.1871836,399305,307967,288764,265928,395438,316067,299975,257697
37200,"Fresno",1419998,6,"California","CA",.1686798,.141954,.2435577,.2173097,.2801346,.25447,.078227,.0642396,.1620277,.1222759,.0979947,.0645252,-.0096303,-.036033,.2319923,.2191323,.0919613,.0965791,.1217816,.1245746,.1384088,.1410198,.1821369,.1818039,.0722138,.0722456,.1083421,.1086048,.1194874,.1215047,.1624661,.1620697,831587,672764,564756,465525,901944,677677,533888,430904
37400,"Sacramento",2570609,6,"California","CA",.2148246,.2031215,.0818729,.073235,.3667415,.3622777,.2267542,.2235046,.2138388,.1966402,.2650768,.2551551,.2112097,.2061457,.200614,.1987767,.0687625,.0698648,.0813271,.082465,.0851397,.0849048,.0801347,.0808354,.059085,.0580583,.0732897,.0722018,.0827129,.0814676,.0925261,.0905712,1277959,1421398,1530394,1660979,1277976,1305898,1434936,1581224
37500,"San Jose",2393183,6,"California","CA",.0549344,.0243896,.3176922,.308489,.1354497,.11225,.0456465,.01805,.1333951,.1156089,.1162904,.1040399,.1638534,.1576468,.241459,.248466,.0858667,.0944094,.1040214,.1080326,.1015329,.1090857,.0805972,.0910603,.0721614,.073066,.0922967,.0925888,.0906568,.0917317,.0809554,.0808851,905925,943476,1040064,1966751,966830,943993,1000019,2076406
37700,"Santa Rosa",603188,6,"California","CA",.1001372,.0997813,.2349519,.2308572,.490117,.47873,.0586316,.0567853,.0630404,.0542624,.1747858,.1711728,-.0467922,-.0464059,.0073341,.0043984,.14389,.1385895,.1669015,.1611664,.1779521,.1726296,.1912778,.1865519,.1207943,.1172176,.1540873,.1504499,.1682662,.1644654,.1694872,.166595,308832,330551,343817,374950,298811,302319,316562,347844
37800,"San Francisco",4642561,6,"California","CA",.1311329,.1100556,.2578578,.2496016,.362545,.3705185,.2177402,.2148213,.1876838,.1716845,.2416285,.2287762,.1671646,.1585214,.3045208,.2985409,.0559363,.0601809,.0691089,.0732121,.0639334,.0688808,.0564457,.0625531,.0483658,.0477238,.0605448,.059946,.064605,.0645289,.0564758,.0568309,1867248,2096904,2375574,3969268,1934989,1973455,2208857,3953053
37901,"Las Vegas",1568418,32,"Nevada","NV",.171838,.1306806,.0900114,.0498715,.0777855,.0393384,.4527883,.4194241,.0456407,.0184878,.3047603,.27168,.2222311,.1971949,.1470925,.1276738,.0785996,.0774514,.0891034,.0882275,.1038532,.1035466,.1209631,.1202616,.0533477,.0521341,.0726761,.0712962,.0878597,.0866688,.1115368,.1097764,1018425,1093640,911163,768349,1118922,1082786,915874,759220
38000,"San Diego",2813833,6,"California","CA",.1613841,.1511652,.1314716,.1230363,.2591254,.262479,.3692502,.3808652,.0601449,.0469843,.2777894,.26555,.0664809,.0614654,.2015969,.2008147,.0700875,.0716607,.0997147,.1021507,.0852909,.0899745,.0874521,.0903037,.0592301,.0581304,.0820175,.0810708,.0876587,.0879092,.0773079,.0772163,1376176,1355484,1372598,1788096,1469130,1352937,1348490,1781131
38200,"Santa Barbara",646028,6,"California","CA",.034939,.0256004,.2034591,.1946896,.5180007,.5087438,.1756737,.1741326,-.0931222,-.1063759,.4394536,.4253111,.3328647,.3219966,.2471549,.2399841,.1442068,.1418349,.1716502,.1698452,.184345,.1814825,.1885826,.1835056,.1211646,.1188752,.140356,.1405945,.145845,.1441814,.1624183,.1583451,286954,307375,317614,369717,296259,295012,303641,343661
38300,"Los Angeles",1.64e+07,6,"California","CA",.1536452,.1321544,.3134523,.2974795,.1820955,.164168,.2724301,.2690369,.0825842,.0560794,.3050072,.2836272,.1921975,.1779551,.1807549,.1766676,.0296411,.0321617,.0423186,.0442377,.0437931,.0468687,.0429016,.0465362,.0258223,.0263425,.0342424,.0345181,.0416382,.0421241,.0387284,.0395267,9223384,7803161,7100571,8353736,9229402,7548454,6791909,8287493
38601,"Spokane",608317,53,"Washington","WA",.1440116,.1336248,.1550274,.1501202,.161675,.1542879,.1196045,.114925,.0251428,.0243667,-.3170745,-.3046629,.2680311,.26085,.3486817,.3410015,.1345116,.1308841,.1512704,.1472903,.1639548,.1587341,.2209031,.2145559,.1063512,.1041234,.1248216,.1210212,.1475222,.1437531,.1880922,.1825691,352538,394992,398491,280704,335668,391622,379203,260848
38801,"Portland",1842889,41,"Oregon","OR",.1279017,.1235339,.320024,.3081189,.4486681,.4361493,.3842756,.3730299,.170365,.1690162,.1316005,.1293217,.3826257,.3726006,.1903421,.1878647,.0859507,.0833215,.1028273,.100297,.1030011,.1003827,.1010759,.0983173,.0705535,.0686493,.0850218,.0825651,.085897,.083615,.1004113,.0969479,846755,1050710,1200977,1232609,859777,1032470,1175266,1200378
38901,"Eugene",936387,41,"Oregon","OR",.077862,.0736038,.2259101,.2199199,.3912838,.3737794,.1014121,.099384,.0030898,-.0040784,.145806,.1398536,.3156473,.3052874,.2112563,.2015658,.1168896,.1117436,.143923,.1396262,.1194143,.1149018,.1786,.1725392,.0923726,.0901592,.1170902,.1140697,.1297774,.1260682,.1516526,.1466891,487070,546051,575171,403245,473698,540855,545148,363271
39400,"Seattle",3775744,53,"Washington","WA",.2265883,.2174213,.0876,.0815594,.3486523,.3407299,.2268531,.2221962,.1276495,.1299226,.0572468,.0612674,.1254189,.1286365,.1195844,.1216885,.0703014,.07005,.0717521,.0714069,.0706143,.0699623,.0717023,.0717913,.0546285,.053156,.0602517,.0591696,.0654248,.0634701,.0639367,.0622079,1508792,2040028,2494243,2918767,1492439,1977692,2518317,2866836
