cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
21201,"Hutchinson",72898,27,"Minnesota","MN",83.98362,84.30845,84.48639,84.85944,87.3243,87.57336,89.32319,89.54038,75.90449,76.33643,81.65991,82.01623,86.48694,86.71712,85.8911,86.1574,.812686,.7708477,.8744674,.8404819,.7330951,.6978357,.9754765,.91912,.6913102,.6843624,.7561188,.7348591,.6166721,.5900269,1.028693,.9865547,32718,50633,65800,34349,32176,56184,66656,31120
21202,"Redwood Falls",33969,27,"Minnesota","MN",81.68842,82.01398,84.97839,85.36694,87.33789,87.64196,85.66305,85.92121,77.84344,78.21406,81.29039,81.68878,82.66718,83.07657,84.21763,84.51437,1.123219,1.077213,1.134967,1.076628,1.165168,1.102044,1.963245,1.90387,.894136,.8742899,.9759108,.949,1.265874,1.231032,1.814978,1.77222,16527,23611,26988,13993,18378,27644,25683,12403
21301,"Mankato",149925,27,"Minnesota","MN",82.5513,82.88728,85.74355,86.03487,87.67803,87.97225,87.93055,88.11679,77.22796,77.63073,81.86249,82.21323,84.42182,84.78063,87.16145,87.34289,.6019915,.5772153,.6031302,.5738725,.6271092,.5959778,.7676587,.7357186,.5129416,.5056303,.5371054,.5254114,.5536503,.5326912,.6310226,.6118018,66885,99481,130525,80767,66648,109676,131798,73820
21302,"Owatonna",109871,27,"Minnesota","MN",82.69439,83.14825,85.07687,85.29329,86.91598,87.20589,88.47086,88.77979,78.49632,78.8972,82.42076,82.63349,84.68301,84.99872,85.92175,86.23933,.8504661,.811828,.710884,.6818442,.7074268,.6793414,.9737489,.9184199,.6943494,.6799254,.6234455,.6061524,.6190836,.5975022,.7996255,.7683777,44794,70849,99057,67611,43475,77444,101756,62631
21400,"St. Cloud",254139,27,"Minnesota","MN",83.34053,83.62639,85.53446,85.84454,87.29197,87.58215,88.55103,88.81173,77.79192,78.19717,82.20596,82.56866,84.82588,85.15261,85.1104,85.4548,.4882161,.474856,.4627466,.4422678,.4623034,.4419036,.5436282,.5148932,.4123846,.4109358,.4269605,.4206527,.4220121,.4065864,.5500186,.5325761,117033,170694,232808,162309,115833,186925,239806,156883
21501,"Minneapolis",2904389,27,"Minnesota","MN",81.74927,81.762,84.39784,84.67765,86.50668,86.73156,88.06026,88.23239,77.16068,77.37859,80.81599,81.15867,83.59921,83.90913,86.15902,86.3989,.1725403,.1830225,.1546653,.1594651,.1495382,.153939,.1394704,.1430941,.1417182,.1510828,.1452321,.153452,.1356662,.138509,.1321969,.139408,1042706,1696719,2241666,2796513,1088032,1581401,2201620,2722881
21502,"Pine City",41526,27,"Minnesota","MN",81.20609,81.6116,83.13683,83.57223,85.86768,86.24982,86.99503,87.23807,77.30618,77.76631,82.51617,82.87365,81.94455,82.36165,83.12489,83.37023,.8901873,.8567843,.9990773,.963526,1.220874,1.161881,1.642378,1.569226,.7418638,.730176,.8937487,.8599077,1.074051,1.049195,1.841718,1.805168,29309,32560,30281,12382,29136,35154,29975,10823
21600,"Brainerd",141542,27,"Minnesota","MN",83.39467,83.73721,85.79832,86.12103,86.91489,87.2276,87.74811,88.04808,77.50868,77.95673,80.79958,81.23299,84.39349,84.73341,85.52554,85.83622,.4760699,.4613125,.5186757,.4932816,.5422448,.5200145,.7512811,.7114972,.3910756,.3897023,.4331467,.426783,.5089446,.4932668,.6507077,.6258077,103116,110433,111744,65959,99415,114997,108590,58236
21701,"Rochester",228867,27,"Minnesota","MN",83.03306,83.23504,86.36766,86.57478,88.16558,88.38364,89.33759,89.49787,77.75668,78.08607,81.86477,82.20778,85.1446,85.44849,86.59099,86.83304,.5468047,.530528,.4749274,.4586332,.4505792,.4315445,.4841323,.4645477,.4585122,.4515345,.4554368,.4440709,.4258896,.4110899,.4682173,.4498682,93461,147013,202995,191456,90594,141143,199832,181210
21702,"Austin",71187,27,"Minnesota","MN",82.09702,82.45904,86.91743,87.05484,87.92917,88.19113,89.98959,90.1874,78.34393,78.63599,81.74715,82.0162,85.63176,85.89761,85.76139,86.11332,.826968,.7912852,.7541991,.7268234,.8751451,.830677,.9502522,.8914999,.6886111,.6724473,.6937696,.6773911,.7548376,.7212188,1.333232,1.272737,37483,48935,53862,27752,37847,56028,51857,24102
21801,"Mason City",78179,19,"Iowa","IA",81.2701,81.64536,85.67248,85.93993,85.90964,86.25662,89.00873,89.22868,75.3819,75.74954,83.12112,83.39371,84.11653,84.44904,84.99255,85.33597,.7497531,.7213969,.7806892,.7469157,.96223,.9182316,.923564,.8712921,.5848006,.5801548,.6242539,.6053752,.7769917,.7484415,1.186726,1.14169,43793,58475,62363,30894,41133,63562,59330,26911
21802,"Decorah",72111,19,"Iowa","IA",83.02189,83.43688,87.7221,87.96513,87.66276,87.89291,87.92274,88.25039,78.09262,78.55632,82.23752,82.60466,84.15395,84.45016,83.99847,84.3985,.7896991,.7508295,.7080604,.6737071,.9289128,.887647,1.360426,1.283615,.6504503,.6371958,.6940801,.6760561,.8517379,.8283019,1.368444,1.32558,36726,52182,57194,24923,38342,59081,54116,21622
21900,"Marshalltown",113442,19,"Iowa","IA",82.0987,82.42337,84.20387,84.53278,86.1585,86.48132,87.86881,88.11075,74.90937,75.32893,79.99365,80.38068,83.0276,83.40518,85.42352,85.6343,.6559812,.6282759,.6234468,.6009539,.6523917,.6220593,.9656341,.9224288,.4914647,.4922927,.5155561,.5093746,.6176714,.6018559,.8684511,.8379222,56078,81951,94579,50277,55519,89792,91960,43969
22001,"Waterloo",222112,19,"Iowa","IA",81.82954,82.31297,84.3075,84.74319,86.39388,86.75984,88.68592,88.88866,76.33907,76.87899,80.96751,81.41765,83.2532,83.66837,85.19056,85.50213,.4752509,.4634085,.4662938,.4439128,.5367548,.5101593,.6244246,.6007568,.407423,.4064277,.3940942,.386489,.4605723,.4492413,.6675274,.6440975,109815,147154,169583,103683,100348,157105,167505,92938
22002,"Iowa Falls",29516,19,"Iowa","IA",81.65444,82.08874,86.0412,86.32381,85.99992,86.39649,89.90532,90.02299,76.93443,77.31502,83.19986,83.51183,82.82579,83.23338,88.43599,88.6094,1.214009,1.1645,1.14878,1.087564,1.339957,1.270833,1.993265,1.913576,.9264295,.9054594,.9956294,.9603731,1.183501,1.138865,2.303754,2.22353,15986,22169,23426,9930,15555,25220,21606,8459
22100,"Iowa City",203768,19,"Iowa","IA",81.88854,82.13824,84.47942,84.78419,87.03004,87.23067,87.08716,87.3212,77.22934,77.52544,80.97232,81.29691,83.23026,83.52116,85.8152,86.05048,.5620357,.5437494,.5796693,.5595427,.5255552,.5062003,.6711799,.6456708,.4559017,.4518354,.4838499,.4752731,.5086591,.497447,.5949842,.575263,82175,122919,153899,130429,84525,124749,150409,120782
22200,"Cedar Rapids",252901,19,"Iowa","IA",81.92735,82.29613,84.65495,85.03631,86.01484,86.34926,88.84421,89.02722,75.75414,76.2206,80.48978,80.92037,83.84573,84.20854,85.37,85.6668,.4571877,.4466768,.4538868,.4357188,.4708582,.4543398,.5494701,.525264,.3943547,.3942669,.3975733,.3960706,.4136569,.4048777,.5472014,.5305131,111656,165468,214158,172921,105248,167127,214650,165094
22300,"Ottumwa",142385,19,"Iowa","IA",82.25364,82.62947,85.21346,85.50133,86.04074,86.4203,87.7396,87.98416,76.88434,77.32329,81.5853,81.94257,82.44163,82.87627,85.17957,85.48677,.5319641,.511731,.5322991,.5076907,.6989667,.667624,.8970044,.8569832,.4475731,.4420907,.4845126,.470646,.6313487,.6180779,.8035364,.7721163,84630,101262,105676,51695,82579,111156,101960,45945
22400,"Sheboygan",195533,55,"Wisconsin","WI",81.76366,81.91425,85.06404,85.39727,87.00698,87.27863,86.80137,87.07034,75.7512,76.05365,80.21279,80.63994,83.13643,83.50268,85.00373,85.25922,.5271475,.5123227,.5079606,.4879197,.4814413,.4593534,.786095,.7586923,.4629596,.4607597,.4266326,.4233245,.4571311,.4524222,.6816263,.6615257,83505,132981,194011,105745,77000,154418,196406,97504
22500,"Appleton",549651,55,"Wisconsin","WI",81.50637,81.84055,84.93789,85.26562,86.50779,86.82241,87.66163,87.87437,75.47377,75.85919,80.64657,81.03308,83.38317,83.75714,85.59254,85.85726,.3017225,.2980673,.3073681,.29853,.3111657,.3036613,.4141847,.402054,.2564141,.2643512,.2662198,.2655732,.2746932,.2768831,.3644393,.3560431,249870,365288,521000,337297,230274,401397,528876,319062
22601,"Green Bay",310560,55,"Wisconsin","WI",81.77183,82.01625,85.55797,85.84177,86.6327,86.96973,87.65511,87.94231,76.66761,76.93805,81.34476,81.70583,84.22678,84.58582,84.91856,85.23885,.4178051,.4056149,.4053423,.3911909,.4255859,.4042715,.5494701,.5256186,.346453,.348987,.3663881,.3571832,.3782001,.3703886,.4996133,.4840328,148541,209657,275992,198687,144519,223064,274967,188220
22602,"Shawano",65966,55,"Wisconsin","WI",82.33529,82.70384,84.56668,84.99536,85.98087,86.33035,87.68728,88.008,77.86096,78.24589,81.59885,82.03008,84.46917,84.77132,85.83862,86.1493,.732614,.7018195,.8318014,.7938685,.9618736,.9192802,1.370523,1.29581,.6708685,.6575899,.7257159,.7059955,.7842333,.7568425,1.196919,1.144563,42058,48742,48882,19370,41078,53054,47064,17379
22700,"Wausau",370092,55,"Wisconsin","WI",82.66124,82.88188,85.70171,86.01341,87.69849,87.9747,88.38226,88.6228,76.85185,77.18274,81.74774,82.13145,83.75951,84.13848,86.30092,86.57968,.3602298,.3523215,.358355,.3466327,.3631211,.3464823,.5147068,.4914848,.3082698,.3079779,.311243,.30596,.3509321,.3444403,.4522203,.4342312,185999,255687,326640,183200,183723,286442,324077,169601
22800,"Eau Claire",305307,55,"Wisconsin","WI",82.24156,82.61059,85.6566,85.98356,87.2177,87.51534,87.73311,87.95515,77.58493,77.99921,81.87598,82.27332,84.56564,84.89564,85.31637,85.61266,.4304584,.4182684,.3967852,.3834961,.4398765,.4190237,.6008736,.5765359,.3405767,.341778,.3707623,.365959,.3829822,.3744886,.5900026,.5717568,156800,208738,248216,140115,159576,228859,243178,129497
22900,"La Crosse",220109,55,"Wisconsin","WI",82.11217,82.42285,84.93617,85.28139,85.79225,86.16775,88.96442,89.16969,75.98459,76.42121,80.92748,81.32035,83.75458,84.14793,85.74754,86.06552,.4528408,.4401315,.4825545,.4621951,.5683274,.5487316,.6181062,.5869586,.348091,.3432147,.4002469,.3970032,.4798232,.4658988,.6567367,.6298486,122587,155689,183061,104287,123525,167847,178375,95766
23000,"Monroe",116624,55,"Wisconsin","WI",81.19681,81.68331,85.31776,85.68205,87.29887,87.60635,87.79323,88.00085,77.42113,77.8812,81.99991,82.37524,84.76779,85.1082,85.52311,85.79547,.5948099,.5742947,.6139035,.5845687,.6531621,.6201196,.9169217,.874242,.4940212,.4875748,.5207943,.5076822,.6006643,.5809616,.8370999,.8084556,68380,91281,99809,48917,68911,100099,96694,44524
23100,"Madison",590755,55,"Wisconsin","WI",81.17251,81.44183,84.9862,85.23909,86.62631,86.88755,88.16747,88.40448,76.46149,76.84836,81.16191,81.47961,83.60628,83.94807,85.78655,86.09367,.3479215,.3448555,.3268253,.3232199,.2946959,.2866291,.3158334,.3027889,.2869285,.2872071,.2929672,.2902068,.2931305,.2928293,.3231824,.3167264,237792,379450,497029,492686,252361,367065,486085,465486
23200,"Dubuque",163189,19,"Iowa","IA",82.4759,82.86678,85.76675,86.10797,87.44798,87.73186,87.3063,87.59081,77.50037,77.92582,81.09637,81.54321,84.11367,84.45556,85.14226,85.46928,.5072817,.4879763,.4733799,.4510915,.5802681,.5538931,.7812995,.7444406,.4477817,.4454584,.4490215,.4485545,.5206974,.5053787,.8334633,.8025647,89576,120563,138433,72813,87078,131558,134642,64902
23301,"Charleston",101161,17,"Illinois","IL",79.36057,79.87154,83.73501,84.14237,85.57008,85.97071,88.31649,88.445,74.3427,74.82465,80.80989,81.21965,81.88729,82.33674,84.28299,84.53236,.6186191,.6075792,.6926619,.6652898,.8111808,.7723188,.987103,.9521744,.5036933,.5011113,.5724465,.5586126,.7273077,.7081295,1.062877,1.031176,56532,63732,67176,36385,51864,68464,64429,32006
23302,"Douglas",101195,17,"Illinois","IL",81.52747,81.97011,84.62946,85.00749,86.02365,86.35927,87.34765,87.6074,74.62832,75.13607,79.58107,79.99863,82.66775,83.0374,85.27154,85.52989,.6100891,.5901885,.650468,.6220021,.7771337,.7387211,1.182241,1.128442,.4688895,.4680063,.5603049,.5500213,.7018537,.683228,1.002626,.9719092,63424,72133,74087,37154,58937,79427,71467,33908
23400,"Bloomington",206909,17,"Illinois","IL",79.23073,79.6529,83.07877,83.48372,85.1898,85.46237,86.58553,86.90245,74.03671,74.49316,78.99603,79.45689,81.83572,82.17862,85.13844,85.4557,.5594438,.5448082,.5652706,.5476872,.5608287,.5415304,.6036509,.5820731,.4159803,.4198506,.4873679,.4839919,.5090513,.5014267,.5387169,.5180131,81712,112012,149854,159360,74373,106828,151337,151952
23500,"Decatur",382083,17,"Illinois","IL",80.0099,80.76389,84.25148,84.66849,85.91496,86.24408,87.86256,88.0256,74.59258,75.36573,79.43336,79.91734,82.60448,83.00052,85.82417,86.06726,.3615135,.3546338,.3942266,.3843994,.422617,.4081581,.4293116,.4163202,.2864066,.2926499,.3207599,.3210133,.3653187,.3600895,.4293758,.4142447,192971,230997,265367,206443,170681,230902,263451,187548
23600,"Burlington",136489,19,"Iowa","IA",82.67796,82.96883,85.08428,85.42776,86.12041,86.45625,87.50931,87.78474,75.88837,76.30138,79.77631,80.23893,83.01142,83.3742,84.00053,84.3807,.5420603,.5276132,.5511329,.5267191,.6414469,.6158346,.8389164,.7986231,.4409191,.4407105,.4610941,.4537468,.5718785,.5586852,1.009884,.9756691,83090,97623,104911,47470,76262,109690,101957,41168
23700,"Galesburg",145734,17,"Illinois","IL",81.32668,81.7897,83.79775,84.2125,85.24407,85.55675,86.87676,87.15446,75.13124,75.6942,80.47253,80.8783,82.03212,82.34785,85.45659,85.68407,.5122834,.4920799,.6001083,.5780032,.674615,.6459424,1.037998,.9972416,.4237323,.4255549,.4630148,.460374,.5503759,.5400782,.7806268,.7482101,87912,94483,96699,50469,76568,102427,93330,43807
23801,"Davenport",382351,17,"Illinois","IL",80.66881,81.14835,84.11457,84.40262,85.8523,86.12615,87.12563,87.30376,75.3531,75.83984,79.74033,80.06574,82.47535,82.78474,85.04649,85.26247,.3389979,.3313662,.3514962,.3404522,.3915873,.3777753,.4673555,.4529829,.2801034,.2828965,.2825192,.2859593,.3380806,.3324897,.4055327,.3934182,211533,247758,298867,237898,188614,258936,297623,221292
23802,"Clinton",70445,19,"Iowa","IA",81.07374,81.56224,85.07726,85.33231,86.1947,86.47842,87.45213,87.78714,74.83378,75.3491,80.82317,81.15179,82.2477,82.61564,85.39725,85.73022,.7216988,.6983241,.7269012,.6980023,.8552934,.8176202,1.294809,1.225564,.5468463,.5451158,.6173748,.6038173,.819828,.7982703,1.163537,1.110492,42695,49254,57309,27489,38528,53806,58246,24691
23900,"Peoria",529703,17,"Illinois","IL",79.5696,80.13431,83.49507,83.88324,85.25629,85.59886,87.1871,87.41057,74.38047,74.97548,79.33432,79.75826,82.03268,82.41425,84.48523,84.77609,.2889103,.2871468,.3024223,.297626,.3113309,.3028519,.3630235,.3505667,.2326453,.2413445,.2418443,.2469091,.2753561,.2736775,.3495136,.3398982,280248,327270,409165,331054,238964,337278,415712,311253
24000,"Kenosha",584474,55,"Wisconsin","WI",80.25049,80.71107,84.22148,84.49379,85.46832,85.74808,87.26342,87.53896,74.99364,75.4728,79.58144,79.91225,82.36848,82.67569,84.3449,84.67106,.3036561,.3016863,.2867256,.2785411,.3227207,.3126176,.3721935,.3576357,.2516778,.2559803,.2508052,.2525047,.2710305,.2686714,.328918,.3242618,289681,373810,481165,381325,269638,377947,493969,361583
24100,"Milwaukee",1660659,55,"Wisconsin","WI",80.77422,81.39199,83.96636,84.32432,85.34395,85.71133,87.52592,87.72897,75.04622,75.71119,79.7659,80.16197,82.62773,83.01131,85.04368,85.30809,.1880077,.1880188,.1881924,.1860652,.1988677,.196284,.2152862,.2108841,.1533415,.1611674,.1633505,.1671496,.1710573,.1729833,.1965722,.197459,750482,991802,1262563,1223239,705921,937570,1237514,1159588
24200,"Bourbonnais",135167,17,"Illinois","IL",80.59364,81.30531,83.37058,83.7835,84.68694,85.11333,85.85337,86.11852,75.11034,75.84603,78.87725,79.30686,81.84194,82.27435,85.61907,85.83801,.5540928,.5384909,.6177071,.5943815,.6434566,.6127967,.9108756,.8751584,.4431282,.4415578,.5095955,.5023912,.5752519,.5617511,.7174509,.6916275,80516,89140,101791,65040,70544,87720,101983,59842
24300,"Chicago",8183799,17,"Illinois","IL",82.41403,82.66121,83.84447,83.90391,85.14604,85.1144,87.26971,87.12228,77.70721,77.91198,79.74701,79.80946,81.96782,81.99055,84.58552,84.56777,.0853276,.1132562,.0942328,.1029647,.0917242,.0988425,.0896224,.105451,.0755919,.0973962,.082276,.082909,.0800565,.0804925,.0822323,.0925052,4005225,4450654,4854907,6360984,3793854,3968939,4600655,6173581
24400,"Rockford",622573,17,"Illinois","IL",80.69166,81.04049,83.66992,84.06196,85.05326,85.34058,87.36436,87.55694,75.28463,75.63575,80.05213,80.44872,82.4511,82.74665,84.83235,85.08466,.2779887,.2724003,.3008662,.2888383,.2901895,.2841089,.3443162,.3374342,.2454785,.2472062,.2412777,.2438517,.2732027,.2703444,.3197706,.3150849,334387,410821,499741,366184,298785,425471,507805,340720
24500,"Rolla",111509,29,"Missouri","MO",81.04941,81.27684,83.49059,83.82225,84.36998,84.77406,88.66196,88.66302,75.41623,75.86085,78.86286,79.28692,83.8878,84.2278,85.18568,85.39736,.5434281,.5292672,.689879,.6672307,.823189,.7884549,1.082168,1.065447,.4524612,.4512807,.5487858,.5441836,.6896936,.6686944,.9666848,.934211,80109,74855,65334,31741,74249,78579,63556,28863
24600,"Farmington",137456,29,"Missouri","MO",80.36082,80.8364,83.61285,84.00529,85.96918,86.31,86.47145,86.63931,73.98488,74.5239,79.16332,79.61272,82.83784,83.20471,81.93053,82.20206,.4713449,.4638982,.5609499,.5387356,.7251927,.6888089,.9747976,.941758,.3460577,.3559715,.466515,.4632638,.6204193,.6039804,1.060173,1.043117,104362,96943,87360,36418,94533,105764,86952,32865
24701,"St. Louis",2325609,29,"Missouri","MO",80.21951,81.22772,83.33969,83.92688,85.38738,85.81653,87.37354,87.64428,74.40871,75.49485,78.96077,79.60056,81.96375,82.44572,84.62397,84.97064,.1502192,.1689807,.154684,.1583535,.1632873,.1642371,.166692,.1626864,.1197758,.1416932,.1347781,.1447171,.1469049,.150853,.1547556,.1575208,1253132,1481779,1626769,1742849,1098229,1286771,1575385,1671381
24702,"Mexico",37989,29,"Missouri","MO",80.8225,81.28368,85.37467,85.74059,86.81347,87.18141,87.43188,87.89433,74.24512,74.77048,80.40358,80.85256,81.84552,82.30283,84.40618,84.91258,.9362028,.908313,1.078005,1.031959,1.510869,1.442228,1.923568,1.80403,.6821088,.6856913,.9309855,.9063605,1.147538,1.119112,1.855585,1.773277,26103,27660,25055,10213,24905,29810,23738,8989
24801,"Jacksonville",84748,17,"Illinois","IL",80.54275,81.04098,84.01511,84.34125,85.11137,85.53092,87.46928,87.73598,74.75969,75.28986,79.31261,79.69772,80.91025,81.37305,82.6081,82.94665,.6909314,.6700128,.70185,.6715674,.8479415,.8087529,1.067812,1.016888,.515869,.5196209,.5990326,.5906441,.7108242,.7049027,1.008899,.9852862,49162,58714,60172,30657,46010,62728,58552,26692
24802,"Springfield",267992,17,"Illinois","IL",78.80746,79.44143,83.20946,83.65671,84.67007,85.0926,87.18459,87.4358,74.00759,74.68959,78.84724,79.33806,81.45809,81.90138,84.45204,84.7766,.4095649,.4006113,.4224897,.413065,.4524579,.4406771,.4999317,.4828271,.3458376,.3504321,.3566755,.3509673,.3998053,.3993005,.5003927,.4859226,134382,181371,214989,185735,124975,161288,205447,168462
24900,"Edwardsville",382997,17,"Illinois","IL",80.22004,80.72781,83.55347,83.94464,84.98176,85.36288,86.0654,86.46924,74.14188,74.71819,79.18013,79.62346,81.77579,82.18423,83.89977,84.29533,.3353763,.330713,.3403611,.3312812,.3754441,.366933,.4983669,.4748091,.27221,.2773633,.2939866,.3000602,.326285,.3248223,.4290408,.4207877,209368,247900,300435,225376,181420,251731,304285,210471
25000,"Quincy",152421,17,"Illinois","IL",81.2028,81.69815,85.1122,85.49178,86.19823,86.58448,88.84608,89.0015,75.40797,75.95887,80.86225,81.30258,82.7748,83.20139,84.95535,85.23109,.4659405,.4510889,.5483398,.5216466,.6322941,.5978678,.7380676,.7063409,.4151108,.4157254,.4651044,.4562823,.5642655,.550071,.8272489,.7994059,96466,106393,106993,52214,84367,112966,103638,45833
25101,"Mountain Home",64068,5,"Arkansas","AR",80.84988,81.24517,85.31625,85.66232,87.1301,87.43487,86.86423,87.18355,76.04963,76.45661,79.96293,80.37553,79.2447,79.72958,82.75037,83.15315,.6201567,.6002229,.7246575,.688426,.7815378,.7381475,1.306108,1.235162,.4647638,.4624799,.588784,.5763694,.8032532,.7964866,1.200528,1.157354,63455,52026,33721,16294,58812,46988,27095,13986
25102,"West Plains",90551,29,"Missouri","MO",83.32589,83.67667,84.58378,84.97605,86.02448,86.21483,88.65359,88.92638,77.13522,77.6011,80.88654,81.29921,81.95406,82.25148,83.2178,83.70455,.4782664,.4595013,.7579386,.7199826,1.051801,1.015642,1.320508,1.239427,.4325782,.4324651,.6112467,.5970836,.9533231,.9317251,1.467891,1.41544,90696,65529,38364,14608,86356,64958,34906,12776
25103,"Harrison",76174,5,"Arkansas","AR",82.4299,82.77586,84.49923,84.77188,85.40703,85.75824,87.92078,88.18025,77.93208,78.32224,81.92703,82.21038,82.43472,82.81667,83.51053,83.9025,.5699296,.5487125,.7235014,.6907945,.905603,.8643966,1.284096,1.22045,.4653342,.4610035,.6178104,.5955929,.8992736,.8700737,1.420545,1.375353,77113,60001,38228,17711,76028,58033,33739,15609
25104,"Heber Springs",51737,5,"Arkansas","AR",82.98183,83.32401,83.81755,84.19867,83.28409,83.79702,88.55385,88.74816,76.01173,76.44475,80.19794,80.62572,81.75021,82.19434,83.61913,83.97768,.693982,.6677462,.8001455,.7644322,1.233886,1.190777,1.39383,1.32853,.5295597,.5262408,.7457668,.7257655,1.009439,.9855634,1.639875,1.584038,48604,37579,26026,12596,45970,37064,23118,10563
25105,"Batesville",64601,5,"Arkansas","AR",81.56318,81.94531,84.18215,84.5418,84.87124,85.25141,87.46461,87.72014,75.80487,76.2085,79.49161,79.94245,81.74265,82.15023,83.0372,83.476,.6123663,.5908924,.698056,.6681936,1.152043,1.100612,1.500603,1.429987,.4875305,.480942,.6302788,.6220272,.9890897,.9627864,1.710697,1.668756,62078,48623,32926,14654,57636,48321,30457,13326
25200,"Henderson",151629,21,"Kentucky","KY",79.44821,80.08701,82.76453,83.25148,84.90425,85.335,86.62578,86.88378,73.63235,74.28706,79.04691,79.53075,82.4362,82.87085,83.68819,84.01201,.4554717,.4449022,.5593691,.5393518,.641429,.6158093,.8946298,.8594981,.3312026,.3362089,.4235124,.4204603,.5552307,.5354507,.8327413,.8048663,108664,104805,103362,54852,98103,109185,101825,49724
25300,"Union City",117387,47,"Tennessee","TN",81.04123,81.63396,83.34528,83.81568,85.18774,85.61839,86.5747,86.9278,74.91338,75.50817,79.19444,79.70158,81.67768,82.13441,83.31212,83.6861,.5341027,.5190167,.6416849,.6141035,.7788746,.7400877,1.091434,1.038556,.4029618,.4016964,.499376,.4958214,.6238142,.6073649,.8733016,.8421382,86660,76528,69383,34101,80205,81534,68410,30505
25401,"Paducah",138654,21,"Kentucky","KY",80.77158,81.36365,83.68708,84.13297,85.48246,85.84504,87.64327,87.89963,74.38743,75.02515,79.23127,79.7123,82.42573,82.81062,84.456,84.77534,.4501197,.4407533,.5584375,.5392793,.6213425,.5920816,.825424,.7872487,.3671382,.3731596,.457889,.4515226,.5722336,.561381,.7336016,.7090961,101541,93062,92724,64633,88264,93380,93853,59947
25402,"Murray",34177,21,"Kentucky","KY",82.40759,82.82052,83.04736,83.4605,86.76028,87.0767,88.9625,89.11714,74.72771,75.23457,78.94978,79.41292,82.37416,82.78284,84.27661,84.60883,1.026684,.982367,1.111768,1.066585,1.433508,1.369618,1.375668,1.314541,.7682322,.7627051,.9300681,.9159716,1.212213,1.173721,1.859746,1.805369,22736,22235,19896,12266,20262,21576,18759,10764
25500,"Centralia",141040,17,"Illinois","IL",80.34702,80.91566,83.94386,84.36067,86.61873,86.92982,86.93217,87.1087,74.67499,75.29424,80.39359,80.81981,82.50567,82.89452,84.74326,84.99474,.5110149,.4976721,.5574434,.5322356,.5868872,.5592287,.9006698,.8656743,.4162848,.4167281,.468599,.4562614,.598839,.5859159,.7940925,.7662982,85350,94301,105879,58877,76462,102181,103980,53748
25601,"Carbondale",265022,17,"Illinois","IL",81.17877,81.68797,84.81793,85.16558,86.73263,87.07158,86.83413,87.12422,74.79033,75.39285,79.55878,79.99549,82.22875,82.66354,84.75156,85.06781,.3703051,.360944,.3853523,.374106,.4902412,.4702569,.7054638,.6739138,.2837655,.2911353,.3614827,.3621008,.4553647,.4507947,.5719094,.5517747,174571,172982,167807,94257,158689,179141,165534,84635
25602,"Harrisburg",37978,17,"Illinois","IL",80.56332,81.04042,82.73867,83.15758,84.17387,84.6647,87.16289,87.37096,75.00626,75.51053,81.38422,81.75528,82.558,83.00533,83.6071,83.96468,.8453931,.8155344,1.082355,1.04105,1.277171,1.221703,2.081837,2.007674,.7088154,.7030445,.8519822,.8228499,1.091497,1.049808,1.781837,1.731788,27704,24142,22861,10841,24466,25708,22332,9561
25701,"Cape Girardeau",184036,29,"Missouri","MO",80.7872,81.39858,83.99425,84.38587,85.72478,86.06967,88.39045,88.6587,75.40501,76.07758,80.03252,80.46537,82.03792,82.44267,84.90033,85.24342,.4155968,.4036824,.5244973,.5061387,.6236923,.6008334,.7651143,.7229103,.3407872,.3444939,.4475856,.4412023,.5725508,.5610436,.7358125,.7077972,136540,123748,115388,63281,121212,126374,111155,57744
25702,"Poplar Bluff",73576,29,"Missouri","MO",81.81553,82.27126,83.83183,84.21955,84.74686,85.05513,85.20774,85.48944,75.22565,75.77073,79.84202,80.24245,82.2746,82.64796,83.14118,83.53881,.5450352,.524156,.8405313,.8006603,1.035588,.9938158,1.32772,1.266743,.4196996,.4182226,.6621904,.6476982,.9673155,.9410595,1.640376,1.598599,72119,50359,32571,14297,68686,49288,30123,12799
25800,"Blytheville",105181,5,"Arkansas","AR",79.54348,80.52386,82.21755,82.72266,85.01077,85.47263,86.65346,86.94019,73.24279,74.25474,77.55403,78.09719,81.37182,81.87543,84.48096,84.77283,.5355653,.5233392,.6917491,.671682,.9267141,.8845056,1.262003,1.207794,.3862347,.3898772,.5785349,.5731858,.8010057,.7765633,1.067094,1.025375,83928,56438,40207,21658,72737,59598,39868,19968
